master_id,expansion,cn,card_type,sub_type,name,rarity,hp,ability,move1,move2,regulation,image,official_id,is_mirror,origin
s12_001_098,S12,001/098,ポケモン,草,ナゾノクサ,C,50,,はっぱブーメラン,,F,image/s12_001_098.jpg,42093,False,
s12_002_098,S12,002/098,ポケモン,草,クサイハナ,C,70,,どぎついかおり,,F,image/s12_002_098.jpg,42094,False,
s12_003_098,S12,003/098,ポケモン,草,キレイハナ,U,120,,フラワースピン,,F,image/s12_003_098.jpg,42095,False,
s12_004_098,S12,004/098,ポケモン,草,モンジャラ,C,80,,たたく,つるのムチ,F,image/s12_004_098.jpg,42096,False,
s12_005_098,S12,005/098,ポケモン,草,モジャンボ,U,150,,すいつくつる,ぶちかます,F,image/s12_005_098.jpg,42097,False,
s12_006_098,S12,006/098,ポケモン,草,イトマル,C,60,,むしくい,,F,image/s12_006_098.jpg,42098,False,
s12_007_098,S12,007/098,ポケモン,草,アリアドス,R,90,かげりのいと,つきさす,,F,image/s12_007_098.jpg,42099,False,
s12_008_098,S12,008/098,ポケモン,草,ビリジオン,C,110,,フォーアズワン,リーフドレイン,F,image/s12_008_098.jpg,42100,False,
s12_009_098,S12,009/098,ポケモン,草,ブリガロンV,RR,230,ニードルライン,タッチダウン,,F,image/s12_009_098.jpg,42101,False,
s12_010_098,S12,010/098,ポケモン,炎,ポニータ,C,70,,とっしん,,F,image/s12_010_098.jpg,42102,False,
s12_011_098,S12,011/098,ポケモン,炎,ギャロップ,R,100,ヒートブースト,ほのおのたてがみ,,F,image/s12_011_098.jpg,42103,False,
s12_012_098,S12,012/098,ポケモン,炎,ビクティニ,C,70,,アシストフレイム,ほのお,F,image/s12_012_098.jpg,42104,False,
s12_013_098,S12,013/098,ポケモン,炎,メラルバ,C,80,,ひだね,,F,image/s12_013_098.jpg,42105,False,
s12_014_098,S12,014/098,ポケモン,炎,ウルガモス,U,130,,おにび,ボルカニックヒート,F,image/s12_014_098.jpg,42106,False,
s12_015_098,S12,015/098,ポケモン,炎,ニャビー,C,70,,かじる,しかえし,F,image/s12_015_098.jpg,42107,False,
s12_016_098,S12,016/098,ポケモン,炎,ニャヒート,C,80,,ふんばりクロー,かえん,F,image/s12_016_098.jpg,42108,False,
s12_017_098,S12,017/098,ポケモン,炎,ガオガエン,U,170,,かくしわざ,フレアシュート,F,image/s12_017_098.jpg,42109,False,
s12_018_098,S12,018/098,ポケモン,水,オムスターV,RR,190,,げんしのみちびき,しょくしゅがため,F,image/s12_018_098.jpg,42110,False,
s12_019_098,S12,019/098,ポケモン,水,ユキワラシ,C,60,,もってくる,スノーアイス,F,image/s12_019_098.jpg,42111,False,
s12_020_098,S12,020/098,ポケモン,水,オニゴーリ,U,130,,かみつく,ビッグマウス,F,image/s12_020_098.jpg,42112,False,
s12_021_098,S12,021/098,ポケモン,水,ユキメノコ,U,90,,ゆきのろうごく,こおりのいぶき,F,image/s12_021_098.jpg,42113,False,
s12_022_098,S12,022/098,ポケモン,水,ジーランス,C,90,,かせきたんさく,みずのはどう,F,image/s12_022_098.jpg,42114,False,
s12_023_098,S12,023/098,ポケモン,水,ケルディオ,U,120,,スプラッシュ,フォーアズワン,F,image/s12_023_098.jpg,42115,False,
s12_024_098,S12,024/098,ポケモン,雷,ピカチュウ,C,70,,ピカストライク,,F,image/s12_024_098.jpg,42116,False,
s12_025_098,S12,025/098,ポケモン,雷,ライチュウ,U,120,,まちぶせスパーク,ライトニングボール,F,image/s12_025_098.jpg,42117,False,
s12_026_098,S12,026/098,ポケモン,雷,コリンク,C,60,,でんげき,,F,image/s12_026_098.jpg,42118,False,
s12_027_098,S12,027/098,ポケモン,雷,ルクシオ,C,90,,ショートスパーク,かみつく,F,image/s12_027_098.jpg,42119,False,
s12_028_098,S12,028/098,ポケモン,雷,レントラー,U,160,しゅんぱつりょく,シークファング,,F,image/s12_028_098.jpg,42120,False,
s12_029_098,S12,029/098,ポケモン,雷,マッギョ,C,110,,マッドショット,ミステリーボルト,F,image/s12_029_098.jpg,42121,False,
s12_030_098,S12,030/098,ポケモン,雷,エリキテル,C,70,,バチバチ,うしろげり,F,image/s12_030_098.jpg,42122,False,
s12_031_098,S12,031/098,ポケモン,雷,エレザード,C,120,,バチバチ,ワイルドボルト,F,image/s12_031_098.jpg,42123,False,
s12_032_098,S12,032/098,ポケモン,雷,ゼラオラ,U,110,,バトルクロー,マッハボルト,F,image/s12_032_098.jpg,42124,False,
s12_033_098,S12,033/098,ポケモン,雷,レジエレキV,RR,200,,スイッチボルト,ライトニングウォール,F,image/s12_033_098.jpg,42125,False,
s12_034_098,S12,034/098,ポケモン,雷,レジエレキVMAX,RRR,310,トランジスタ,ダイライデン,,F,image/s12_034_098.jpg,42126,False,
s12_035_098,S12,035/098,ポケモン,超,アンノーンV,RR,180,,あやしいこくいん,ビクトリーシンボル,F,image/s12_035_098.jpg,42127,False,
s12_036_098,S12,036/098,ポケモン,超,アンノーンVSTAR,RRR,250,,トライパワー,,F,image/s12_036_098.jpg,42128,False,
s12_037_098,S12,037/098,ポケモン,超,アサナン,C,60,ヨガガード,サイコショット,,F,image/s12_037_098.jpg,42129,False,
s12_038_098,S12,038/098,ポケモン,超,チャーレム,R,120,チャクラのめざめ,はりきりキック,,F,image/s12_038_098.jpg,42130,False,
s12_039_098,S12,039/098,ポケモン,超,シンボラー,C,100,,ワーニング,カッターウインド,F,image/s12_039_098.jpg,42131,False,
s12_040_098,S12,040/098,ポケモン,超,ユニラン,C,40,,ぶつかる,,F,image/s12_040_098.jpg,42132,False,
s12_041_098,S12,041/098,ポケモン,超,ダブラン,C,70,,セルスピア,,F,image/s12_041_098.jpg,42133,False,
